PCB_name,Package,Quantity,Designation,Supplier,Supplier ref
J16,Pin_Header_Straight_2x02_Pitch2.54mm,1,Extra_in,DigKey,"952-1772-ND"""
U2,MODULE_ESP32-DEVKITC-32D,1,ESP32-DEVKITC-32D,Aliexpress,"https://www.aliexpress.com/item/32959541446.html?spm=a2g0o.productlist.0.0.5ff17fcaKhnVEU&algo_pvid=941373f6-da8b-47ae-8177-1f36c3651929&algo_expid=941373f6-da8b-47ae-8177-1f36c3651929-1&btsid=0bb0622915991958150524032e46c3&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"R16,R50,R49,R28,R27,R26,R25,R24,R23,R22,R21,R20,R19",r_0805_modified,13,Jumper,Digikey,RMCF0805ZT0R00TR-ND
J13,Pin_Header_Straight_2x13_Pitch2.54mm,1,out_ADeval_1,Digikey,A106618-ND
"H4,H3,H2,H1",MountingHole_2.7mm_M2.5_DIN965,4,MountingHole,,
"R54,R53,R48,R47,R46,R45,R44,R43,R42,R41,R40,R39,R14,R13,R12,R11,R10,R9,R8,R7,R6,R5,R4,R3",r_0805_modified,24,1k,Digikey,311-1.0KARTR-ND
"R52,R51,R38,R37,R36,R35,R34,R33,R32,R31,R30,R29",r_0805_modified,12,1K,Digikey,311-1.0KARTR-ND
"R18,R15",r_0805_modified,2,220,Digikey,311-220CRTR-ND
"C1,C11",CP_Tantalum_Case-B_EIA-3528-21_HandModify,2,10uF,Digikey,478-3874-1-ND
"C2,C14",C_0805_HandSolderingModify,2,100n,Digikey,399-1177-2-ND
"C3,C4,C5,C6,C7,C8",C_0805_HandSolderingModify,6,C?,,
"C15,C16,C17,C18,C19,C20,C21,C22,C23,C24",C_0805_HandSolderingModify,10,100n,Digikey,399-1177-2-ND
"D1,D5",D_2114,2,D_Small,Digikey,S1M-FDICT-ND
D2,pin_strip_2,1,LED_5V,Digikey,952-2262-ND
D8,pin_strip_2,1,LED_5VD,Digikey,952-2262-ND
J1,pin_strip_2,1,Power_input,Digikey,952-2262-ND
J2,sma_90_r300.124.403,1,Interrupt_0,Digikey,2057-RF2-49B-T-00-50-G-HDW-ND
J3,sma_90_r300.124.403,1,Interrupt_1,Digikey,2057-RF2-49B-T-00-50-G-HDW-ND
J4,sma_90_r300.124.403,1,Input_0,Digikey,2057-RF2-49B-T-00-50-G-HDW-ND
J5,sma_90_r300.124.403,1,Input_1,Digikey,2057-RF2-49B-T-00-50-G-HDW-ND
J6,sma_90_r300.124.403,1,Input_2,Digikey,2057-RF2-49B-T-00-50-G-HDW-ND
J7,sma_90_r300.124.403,1,Input_3,Digikey,2057-RF2-49B-T-00-50-G-HDW-ND
J8,pin_strip_2,1,ISO_Power_input,Digikey,952-2262-ND
"J9,J10,J11",pin_strip_2,3,Enable,Digikey,952-2262-ND
J12,Pin_Header_Straight_2x02_Pitch2.54mm,1,Extra_out,DigKey,"952-1772-ND"""
J14,Pin_Header_Straight_2x13_Pitch2.54mm,1,out_ADeval_2,Digikey,A106618-ND
J15,Pin_Header_Straight_2x07_Pitch2.54mm,1,out_Aliexp,Digikey,609-5622-ND
"R1,R2",pin_strip_2,2,Jumper,Digikey,952-2262-ND
"U1,U5",TO-220-3_Vertical_extra,2,L7805,Digikey,MC7805CTGOS-ND
"U6,U7,U8",SOIC-16_3.9x9.9mm_Pitch1.27mm,3,MAX14930,Digikey,MAX14930CASE+-ND
